Exam;;;;;;;;;;;;;;;
COURSE_AI270U;COURSE_AI271U;COURSE_AI272U;COURSE_AI273U;COURSE_AI274U;COURSE_AI275U;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Exam;;;;;;;;;;;;;;;
Mcs;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
COURSE_AI1107;COURSE_AI1128;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
COURSE_AI118U;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
COURSE_AI1107;COURSE_AI1128;COURSE_AI1108;;;;;;;;;;;;;
COURSE_AI110V;COURSE_AI109V;;;;;;;;;;;;;;
COURSE_AI1107;COURSE_AI1123;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
COURSE_AI1107;COURSE_AI1128;COURSE_AI1108;;;;;;;;;;;;;
COURSE_AI2119;COURSE_AI2115;COURSE_AI2102;;;;;;;;;;;;;
COURSE_AI1108;COURSE_AI1146;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
165-hp;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Mcs;;;;;;;;;;;;;;;
COURSE_AI1107;COURSE_AI1128;45-hp;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
COURSE_AI2135;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
COURSE_AI1107;COURSE_AI1128;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
60-hp;;;;;;;;;;;;;;;
COURSE_AI1107;COURSE_AI1128;COURSE_AI1144;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Mcs;;;;;;;;;;;;;;;
Mcs;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Mcs;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Mcs;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
120-hp;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
120-hp;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
COURSE_AI2112;;;;;;;;;;;;;;;
COURSE_AI2131;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
180-hp;;;;;;;;;;;;;;;
120-hp;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
COURSE_AI1108;;;;;;;;;;;;;;;
Basic;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
15-hp;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
COURSE_AI1137;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
1-års;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
COURSE_1F1335;COURSE_1F1386;COURSE_1F1332;COURSE_1F1394;;;;;;;;;;;;
Mcs;;;;;;;;;;;;;;;
x;;;;;;;;;;;;;;;
Prof;;;;;;;;;;;;;;;
